id,type,name,state,region,flow_total,current_lat,current_lon,coordinate_status,suggested_search,manual_city,manual_state,manual_lat,manual_lon,review_notes
TXVA-TX1,transplant_center,Michael E. DeBakey VA Medical Center,Texas,Region  4,49,29.7019,-95.3889,facility_or_city,"Michael E. DeBakey VA Medical Center, Texas, transplant center",,,,,
NYSB-TX1,transplant_center,University Hospital of State University of New York at Stony Brook,New York,Region  9,47,,,missing,"University Hospital of State University of New York at Stony Brook, New York, transplant center",,,,,
DECC-TX1,transplant_center,Christiana Care Health Services,Delaware,Region  2,46,,,missing,"Christiana Care Health Services, Delaware, transplant center",,,,,
GAEH-TX1,transplant_center,Children’s Healthcare of Atlanta - Arthur M. Blank Hospital,Georgia,Region  3,45,33.8317,-84.3299,facility_or_city,"Children’s Healthcare of Atlanta - Arthur M. Blank Hospital, Georgia, transplant center",,,,,
ILSF-TX1,transplant_center,OSF Saint Francis Medical Center,Illinois,Region  7,44,40.7024,-89.59,facility_or_city,"OSF Saint Francis Medical Center, Illinois, transplant center",,,,,
WACH-TX1,transplant_center,Seattle Children's Hospital,Washington,Region  6,42,47.6631,-122.2825,facility_or_city,"Seattle Children's Hospital, Washington, transplant center",,,,,
MACH-TX1,transplant_center,Boston Children's Hospital,Massachusetts,Region  1,41,42.3372,-71.1057,facility_or_city,"Boston Children's Hospital, Massachusetts, transplant center",,,,,
TXLP-TX1,transplant_center,Las Palmas Medical Center,Texas,Region  4,41,31.77,-106.4983,facility_or_city,"Las Palmas Medical Center, Texas, transplant center",,,,,
CAGH-TX1,transplant_center,Scripps Green Hospital,California,Region  5,40,32.8963,-117.2426,facility_or_city,"Scripps Green Hospital, California, transplant center",,,,,
PAHH-TX1,transplant_center,Pinnacle Health System at Harrisburg Hospital,Pennsylvania,Region  2,40,,,missing,"Pinnacle Health System at Harrisburg Hospital, Pennsylvania, transplant center",,,,,
NJBI-TX1,transplant_center,Newark Beth Israel Medical Center,New Jersey,Region  2,39,40.7103,-74.2126,facility_or_city,"Newark Beth Israel Medical Center, New Jersey, transplant center",,,,,
MNHC-TX1,transplant_center,Hennepin County Medical Center,Minnesota,Region  7,38,44.9712,-93.2604,facility_or_city,"Hennepin County Medical Center, Minnesota, transplant center",,,,,
NJUH-TX1,transplant_center,University Hospital,New Jersey,Region  2,38,40.7405,-74.1912,facility_or_city,"University Hospital, New Jersey, transplant center",,,,,
