id,type,name,state,region,lat,lon,notes
TNEM-TX1,transplant_center,Erlanger Medical Center,Tennessee,Region  11,,,
AZCH-TX1,transplant_center,Phoenix Children's Hospital,Arizona,Region  5,,,
NMAQ-TX1,transplant_center,"University Hospital, University of New Mexico Health Sciences Center",New Mexico,Region  5,,,
ALCH-TX1,transplant_center,Children's of Alabama,Alabama,Region  3,,,
VAHD-TX1,transplant_center,Henrico Doctors' Hospital,Virginia,Region  11,,,
MABU-TX1,transplant_center,Boston Medical Center,Massachusetts,Region  1,,,
MEMC-TX1,transplant_center,Maine Medical Center,Maine,Region  1,,,
MOCM-TX1,transplant_center,Children's Mercy Hospital,Missouri,Region  8,,,
CAMB-TX1,transplant_center,UCSF Medical Center at Mission Bay,California,Region  5,,,
DCWR-TX1,transplant_center,Walter Reed National Military Medical Center at Bethesda,District of Columbia,Region  2,,,
ILMM-TX1,transplant_center,Springfield Memorial Hospital,Illinois,Region  7,,,
SDMK-TX1,transplant_center,Avera McKennan Hospital,South Dakota,Region  7,,,
SDSV-TX1,transplant_center,Sanford Health/USD Medical Center,South Dakota,Region  7,,,
WVWU-TX1,transplant_center,West Virginia University Hospitals Inc.,West Virginia,Region  2,,,
CACH-TX1,transplant_center,Rady Children's Hospital and Health Center,California,Region  5,,,
WICH-TX1,transplant_center,Children's Hospital of Wisconsin,Wisconsin,Region  7,,,
TNLB-TX1,transplant_center,Le Bonheur Children's Medical Center,Tennessee,Region  11,,,
TXDM-TX1,transplant_center,North Austin Medical Center,Texas,Region  4,,,
NHDH-TX1,transplant_center,Mary Hitchcock Memorial Hospital,New Hampshire,Region  1,,,
NYVA-TX1,transplant_center,James J. Peters VA Medical Center,New York,Region  9,,,
TXUC-TX1,transplant_center,University Children's Health,Texas,Region  4,,,
CASG-TX1,transplant_center,Sutter Medical Center Sacramento,California,Region  5,,,
MICH-TX1,transplant_center,Children's Hospital of Michigan,Michigan,Region  10,,,
ORSV-TX1,transplant_center,Providence St. Vincent Medical Center,Oregon,Region  6,,,
PAHE-TX1,transplant_center,Penn State Milton S Hershey Medical Center,Pennsylvania,Region  2,,,
SCCH-TX1,transplant_center,MUSC Children's Hospital,South Carolina,Region  11,,,
MOUM-TX1,transplant_center,University of Missouri Hospital and Clinics,Missouri,Region  8,,,
DCCH-TX1,transplant_center,Children's National Medical Center,District of Columbia,Region  2,,,
LACH-TX1,transplant_center,Children's Hospital,Louisiana,Region  3,,,
NYCC-TX1,transplant_center,Long Island Jewish Medical Center-Cohen Children's Medical Center,New York,Region  9,,,
KYKC-TX1,transplant_center,Norton Children's Hospital,Kentucky,Region  11,,,
TXDL-TX1,transplant_center,Dell Children's Medical Center,Texas,Region  4,,,
ARBH-TX1,transplant_center,Baptist Medical Center,Arkansas,Region  3,,,
TNBM-TX1,transplant_center,Baptist Memorial Hospital,Tennessee,Region  11,,,
