id,type,name,state,lat,lon,coordinate_quality,notes
MICH-TX1,transplant_center,Children's Hospital of Michigan,Michigan,,,missing,
ORSV-TX1,transplant_center,Providence St. Vincent Medical Center,Oregon,,,missing,
PAHE-TX1,transplant_center,Penn State Milton S Hershey Medical Center,Pennsylvania,,,missing,
SCCH-TX1,transplant_center,MUSC Children's Hospital,South Carolina,,,missing,
MOUM-TX1,transplant_center,University of Missouri Hospital and Clinics,Missouri,,,missing,
DCCH-TX1,transplant_center,Children's National Medical Center,District of Columbia,,,missing,
LACH-TX1,transplant_center,Children's Hospital,Louisiana,,,missing,
NYCC-TX1,transplant_center,Long Island Jewish Medical Center-Cohen Children's Medical Center,New York,,,missing,
KYKC-TX1,transplant_center,Norton Children's Hospital,Kentucky,,,missing,
TXDL-TX1,transplant_center,Dell Children's Medical Center,Texas,,,missing,
ARBH-TX1,transplant_center,Baptist Medical Center,Arkansas,,,missing,
TNBM-TX1,transplant_center,Baptist Memorial Hospital,Tennessee,,,missing,
TXLM-TX1,transplant_center,Covenant Medical Center,Texas,,,missing,
DEAI-TX1,transplant_center,Nemours Children's Hospital Delaware,Delaware,,,missing,
FLHM-TX1,transplant_center,Halifax Health,Florida,,,missing,
MOCG-TX1,transplant_center,Cardinal Glennon Children's Hospital,Missouri,,,missing,
NDMC-TX1,transplant_center,Sanford Bismarck Medical Center,North Dakota,,,missing,
FLJD-TX1,transplant_center,Memorial Regional Hospital/Joe DiMaggio Children's Hospital,Florida,,,missing,
TXCT-TX1,transplant_center,Seton Medical Center Austin,Texas,,,missing,
TXDS-TX1,transplant_center,Dell Seton Medical Center at The University of Texas at Austin,Texas,,,missing,
ARCH-TX1,transplant_center,Arkansas Children's Hospital,Arkansas,,,missing,
PAPH-TX1,transplant_center,UPMC Hamot,Pennsylvania,,,missing,
TXCF-TX1,transplant_center,Cook Children's Medical Center,Texas,,,missing,
TXDC-TX1,transplant_center,Driscoll Children's Hospital,Texas,,,missing,
IAVA-TX1,transplant_center,The Iowa City VA Health Care System,Iowa,,,missing,
MIDV-TX1,transplant_center,Corewell Health Helen DeVos Children's Hospital,Michigan,,,missing,
NECH-TX1,transplant_center,Children’s Nebraska,Nebraska,,,missing,
ALVA-TX1,transplant_center,,,,,missing,
FLAC-TX1,transplant_center,Johns Hopkins All Children's Hospital,Florida,,,missing,
OKCM-TX1,transplant_center,Children's Hospital of Oklahoma,Oklahoma,,,missing,
PRCC-TX1,transplant_center,Cardiovascular Center of Puerto Rico and the Caribbean,Puerto Rico,,,missing,
MNCM-TX1,transplant_center,Children's Minnesota,Minnesota,,,missing,
PASC-TX1,transplant_center,St. Christopher's Hospital for Children,Pennsylvania,,,missing,
VACH-TX1,transplant_center,Children's Hospital of the King's Daughters,Virginia,,,missing,
