,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - upper limb,VCA - uterus
,Dilated Myopathy: Post Partum,,33,0,0,0,0,33,0,0,0,0,0,0,0
,Heart Re-Tx/Gf: Coronary Artery Disease,,1,0,0,0,0,1,0,0,0,0,0,0,0
,Heart Re-Tx/Gf: Non-Specific,,2,0,0,0,0,2,0,0,0,0,0,0,0
,Heart Re-Tx/Gf: Other Specify,,1,0,0,0,0,1,0,0,0,0,0,0,0
,Heart Re-Tx/Gf: Restrictive/Constrictive,,1,0,0,0,0,1,0,0,0,0,0,0,0
,Hypertrophic Cardiomyopathy,,126,0,0,0,0,126,0,0,0,0,0,0,0
,Lymphangioleiomyomatosis,,1,0,0,0,0,0,0,1,0,0,0,0,0
,Muscular Dystrophy: Other Specify,,1,0,0,0,0,1,0,0,0,0,0,0,0
,Restrictive Myopathy: Amyloidosis,,26,0,0,0,0,26,0,0,0,0,0,0,0
,Restrictive Myopathy: Idiopathic,,26,0,0,0,0,26,0,0,0,0,0,0,0
,Restrictive Myopathy: Other Specify,,15,0,0,0,0,15,0,0,0,0,0,0,0
,
