id,type,name,state,total_flow,lat,lon,coordinate_status,geocode_priority,why_still_needs_work,geocode_query
PACP-TX1,transplant_center,Children's Hospital of Philadelphia,Pennsylvania,37,39.9477,-75.195,facility_or_city,3,batch_hit_needs_spot_check,"Children's Hospital of Philadelphia, Pennsylvania (transplant center hospital)"
IAIM-TX1,transplant_center,Iowa Methodist Medical Center,Iowa,36,41.5898,-93.6348,facility_or_city,3,batch_hit_needs_spot_check,"Iowa Methodist Medical Center, Iowa (transplant center hospital)"
DCWH-TX1,transplant_center,Washington Hospital Center,District of Columbia,35,38.9287,-77.0148,facility_or_city,3,batch_hit_needs_spot_check,"Washington Hospital Center, District of Columbia (transplant center hospital)"
OHCH-TX1,transplant_center,Nationwide Children's Hospital,Ohio,34,39.9521,-82.979,facility_or_city,3,batch_hit_needs_spot_check,"Nationwide Children's Hospital, Ohio (transplant center hospital)"
OKSJ-TX1,transplant_center,St John Medical Center,Oklahoma,34,36.134,-95.9689,facility_or_city,3,batch_hit_needs_spot_check,"St John Medical Center, Oklahoma (transplant center hospital)"
NDSL-TX1,transplant_center,Sanford Medical Center Fargo,North Dakota,31,46.8455,-96.8768,facility_or_city,3,batch_hit_needs_spot_check,"Sanford Medical Center Fargo, North Dakota (transplant center hospital)"
COCH-TX1,transplant_center,Children's Hospital Colorado,Colorado,30,39.7452,-104.9678,facility_or_city,3,batch_hit_needs_spot_check,"Children's Hospital Colorado, Colorado (transplant center hospital)"
NYAM-TX1,transplant_center,Albany Medical Center Hospital,New York,30,42.6533,-73.7772,facility_or_city,3,batch_hit_needs_spot_check,"Albany Medical Center Hospital, New York (transplant center hospital)"
RIRH-TX1,transplant_center,Rhode Island Hospital,Rhode Island,30,41.8111,-71.409,facility_or_city,3,batch_hit_needs_spot_check,"Rhode Island Hospital, Rhode Island (transplant center hospital)"
MABS-TX1,transplant_center,Baystate Medical Center,Massachusetts,28,42.1215,-72.603,facility_or_city,3,batch_hit_needs_spot_check,"Baystate Medical Center, Massachusetts (transplant center hospital)"
NMPH-TX1,transplant_center,Presbyterian Hospital,New Mexico,28,35.0809,-106.6341,facility_or_city,3,batch_hit_needs_spot_check,"Presbyterian Hospital, New Mexico (transplant center hospital)"
FLSH-TX1,transplant_center,Ascension Sacred Heart Pensacola,Florida,27,30.4771,-87.2123,facility_or_city,3,batch_hit_needs_spot_check,"Ascension Sacred Heart Pensacola, Florida (transplant center hospital)"
MISJ-TX1,transplant_center,Ascension St. John Hospital,Michigan,26,42.6705,-82.945,facility_or_city,3,batch_hit_needs_spot_check,"Ascension St. John Hospital, Michigan (transplant center hospital)"
