,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - other genitourinary organ,VCA - upper limb,VCA - uterus
Chronic Glomerulonephritis Unspecified,,"1,015","1,015",0,0,0,0,0,0,0,0,0,0,0,0
Chronic Glomerulosclerosis Unspecified,,186,186,0,0,0,0,0,0,0,0,0,0,0,0
Chronic Nephrosclerosis-Unspecified,,90,89,0,0,1,0,0,0,0,0,0,0,0,0
Chronic Pyelonephritis/Reflux Nephropath,,344,344,0,0,0,0,0,0,0,0,0,0,0,0
Cirrhosis: Autoimmune,,247,0,247,0,0,0,0,0,0,0,0,0,0,0
Ahn: Etiology Unknown,,6,0,6,0,0,0,0,0,0,0,0,0,0,0
Cirrhosis: Chronic Active Hepatitis: Etiology Unk,,6,0,6,0,0,0,0,0,0,0,0,0,0,0
Cirrhosis: Cryptogenic (Idiopathic),,223,0,223,0,0,0,0,0,0,0,0,0,0,0
Cirrhosis: Drug/Indust Exposure Other Specify,,8,0,8,0,0,0,0,0,0,0,0,0,0,0
Cirrhosis: Fatty Liver (Nash),,379,0,379,0,0,0,0,0,0,0,0,0,0,0
"Cirrhosis: Other, Specify (E.G., Histiocytosis, S",,103,0,103,0,0,0,0,0,0,0,0,0,0,0
Cirrhosis: Type A,,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Cirrhosis: Type B. And C,,6,0,6,0,0,0,0,0,0,0,0,0,0,0
Cirrhosis: Type B. And D,,3,0,3,0,0,0,0,0,0,0,0,0,0,0
Cirrhosis: Type B- Hbsag+,,91,0,91,0,0,0,0,0,0,0,0,0,0,0
"Ahn: Other, Specify (E.G., Acute Viral Infection,",,30,0,30,0,0,0,0,0,0,0,0,0,0,0
Cirrhosis: Type C,,338,0,338,0,0,0,0,0,0,0,0,0,0,0
Cirrhosis: Type D,,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Common Variable Immune Deficiency,,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Congenital Heart Defect -. Prior Surgery Unknown,,2,0,0,0,0,2,0,0,0,0,0,0,0,0
Congenital Heart Defect -. With Surgery,,528,0,0,0,0,528,0,0,0,0,0,0,0,0
Congenital Heart Defect -. Without Surgery,,40,0,0,0,0,40,0,0,0,0,0,0,0,0
Congenital Hepatic Fibrosis,,25,0,25,0,0,0,0,0,0,0,0,0,0,0
Congenital Malformation,,2,0,0,0,0,0,2,0,0,0,0,0,0,0
Congenital Obstructive Uropathy,,632,632,0,0,0,0,0,0,0,0,0,0,0,0
RETRANSPLANT/GRAFT FAILURE,,43,0,0,43,0,0,0,0,0,0,0,0,0,0
Constrictive Bronchiolitis,,2,0,0,0,0,0,2,0,0,0,0,0,0,0
Copd/Emphysema,,215,0,0,0,0,0,213,2,0,0,0,0,0,0
Coronary Artery Disease,,74,0,0,0,0,74,0,0,0,0,0,0,0,0
Cortical Necrosis,,41,41,0,0,0,0,0,0,0,0,0,0,0,0
Crest -. Pulmonary Hypertension,,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Cystic Fibrosis,,16,0,0,0,0,0,15,1,0,0,0,0,0,0
Ahn: Type B. And C,,1,0,1,0,0,0,0,0,0,0,0,0,0,0
RETRANSPLANT,,6,0,0,0,0,0,0,0,6,0,0,0,0,0
Cystinosis,,36,33,0,1,2,0,0,0,0,0,0,0,0,0
Diabetes -. Type I. Insulin Dep/Juv Onset,,9,6,0,0,3,0,0,0,0,0,0,0,0,0
Diabetes -. Type II Insulin Dep/Adult Ons,,8,8,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes -. Type II Non-Insulin Dep/Adult,,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes Mellitus -. Type I,,"4,964","3,307",0,117,"1,540",0,0,0,0,0,0,0,0,0
Diabetes Mellitus -. Type I,,367,0,0,367,0,0,0,0,0,0,0,0,0,0
Diabetes Mellitus -. Type II,,"34,788","34,058",0,54,676,0,0,0,0,0,0,0,0,0
Diabetes Mellitus -. Type II,,88,0,0,88,0,0,0,0,0,0,0,0,0,0
Diabetes Mellitus -. Type Other /. Unknown,,216,198,0,2,16,0,0,0,0,0,0,0,0,0
Ahn: Type B. And D,,1,0,1,0,0,0,0,0,0,0,0,0,0,0
IIP: DESQUAMATIVE INTERSTITIAL PNEUMONIA,,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Diabetes Mellitus -. Type Other /. Unknown,,4,0,0,4,0,0,0,0,0,0,0,0,0,0
Diabetes Secondary To Chronic Pancreatitis Withou,,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Diabetes Secondary To Cystic Fibrosis Without Pan,,6,0,0,6,0,0,0,0,0,0,0,0,0,0
Dilated Myopathy: Adriamycin,,21,0,0,0,0,21,0,0,0,0,0,0,0,0
Dilated Myopathy: Alcoholic,,15,0,0,0,0,15,0,0,0,0,0,0,0,0
Dilated Myopathy: Familial,,151,0,0,0,0,151,0,0,0,0,0,0,0,0
Dilated Myopathy: Idiopathic,,"1,278",0,0,0,0,"1,278",0,0,0,0,0,0,0,0
Dilated Myopathy: Ischemic,,906,0,0,0,0,906,0,0,0,0,0,0,0,0
Dilated Myopathy: Myocarditis,,29,0,0,0,0,29,0,0,0,0,0,0,0,0
Dilated Myopathy: Other Specify,,477,0,0,0,0,477,0,0,0,0,0,0,0,0
