,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - other genitourinary organ,VCA - uterus
,Cirrhosis: Cryptogenic (Idiopathic),,1,0,1,0,0,0,0,0,0,0,0
,"Cirrhosis: Other, Specify (E.G., Histiocytosis, S",,9,0,9,0,0,0,0,0,0,0,0
,Cirrhosis: Type B- Hbsag+,,2,0,2,0,0,0,0,0,0,0,0
,"Ahn: Other, Specify (E.G., Acute Viral Infection,",,66,0,66,0,0,0,0,0,0,0,0
,Cirrhosis: Type C,,2,0,2,0,0,0,0,0,0,0,0
,Cirrhosis: Type D,,1,0,1,0,0,0,0,0,0,0,0
Alpha-1 - Antitrypsin Deficiency,All Diagnosis,,47,0,0,0,0,0,47,0,0,0,0
,Alpha -. 1. -. Antitrypsin Deficiency,,47,0,0,0,0,0,47,0,0,0,0
Benign Neoplasms,All Diagnosis,,144,0,144,0,0,0,0,0,0,0,0
,Benign Tumor: Hepatic Adenoma,,11,0,11,0,0,0,0,0,0,0,0
,Benign Tumor: Other Specify,,6,0,6,0,0,0,0,0,0,0,0
,Benign Tumor: Polycystic Liver Disease,,125,0,125,0,0,0,0,0,0,0,0
,"Other, Specify",,1,0,1,0,0,0,0,0,0,0,0
,CIRRHOSIS: METABOLIC DYSFUNCTION - ASSOCIATED STEATOHEPATITIS (MASH),,1,0,1,0,0,0,0,0,0,0,0
Biliary Atresia,All Diagnosis,,229,0,229,0,0,0,0,0,0,0,0
,
,Plm: Hepatoma (Hcc) And Cirrhosis,,1,0,1,0,0,0,0,0,0,0,0
,Plm: Hepatoma -. Hepatocellular Carcinoma,,1,0,1,0,0,0,0,0,0,0,0
,"Biliary Atresia Or Hypoplasia: Other, Specify",,33,0,33,0,0,0,0,0,0,0,0
,"Other, Specify",,9,0,9,0,0,0,0,0,0,0,0
,Biliary Atresia: Extrahepatic,,154,0,154,0,0,0,0,0,0,0,0
,Biliary Hypoplasia: Alagille’s Syndrome (Paucity,,23,0,23,0,0,0,0,0,0,0,0
,Biliary Hypoplasia: Nonsyndromic Paucity Of Intra,,1,0,1,0,0,0,0,0,0,0,0
,Cirrhosis: Cryptogenic (Idiopathic),,1,0,1,0,0,0,0,0,0,0,0
,"Cirrhosis: Other, Specify (E.G., Histiocytosis, S",,6,0,6,0,0,0,0,0,0,0,0
Cardiomyopathy,All Diagnosis,,"2,704",0,0,0,0,"2,693",0,11,0,0,0
,Dilated Myopathy: Post Partum,,39,0,0,0,0,39,0,0,0,0,0
,Hypertrophic Cardiomyopathy,,186,0,0,0,0,185,0,1,0,0,0
,Restrictive Myopathy: Amyloidosis,,90,0,0,0,0,90,0,0,0,0,0
,Restrictive Myopathy: Endocardial Fibros,,2,0,0,0,0,2,0,0,0,0,0
,Restrictive Myopathy: Idiopathic,,27,0,0,0,0,27,0,0,0,0,0
,Restrictive Myopathy: Other Specify,,36,0,0,0,0,35,0,1,0,0,0
,Restrictive Myopathy: Sarcoidosis,,60,0,0,0,0,59,0,1,0,0,0
,Restrictive Myopathy: Sec To Radiat/Chem,,16,0,0,0,0,16,0,0,0,0,0
,Dilated Myopathy: Adriamycin,,30,0,0,0,0,30,0,0,0,0,0
,Dilated Myopathy: Alcoholic,,5,0,0,0,0,5,0,0,0,0,0
,Dilated Myopathy: Familial,,167,0,0,0,0,167,0,0,0,0,0
